Site ID,Governing LHN,Geographical LHN,Site Name,Address,Suburb,Notes,Search Address,Latitude,Longitude
186,SAAS,SALHN,SA Ambulance - Glengowrie,88A Morphett Road,GLENGOWRIE,,"SA Ambulance - Glengowrie, 88A Morphett Road, GLENGOWRIE",-34.98030876,138.5375961
187,SAAS,SALHN,SA Ambulance - Marion,346 Sturt Road,MITCHELL PARK,,"SA Ambulance - Marion, 346 Sturt Road, MITCHELL PARK",-35.01653126,138.5648262
188,SAAS,SALHN,SA Ambulance - Mclaren Vale,Aldersey Street,MCLAREN VALE,,"SA Ambulance - Mclaren Vale, Aldersey Street, MCLAREN VALE",-35.2206565,138.5448314
189,SAAS,SALHN,SA Ambulance - Mitcham,221 Belair Road,TORRENS PARK,,"SA Ambulance - Mitcham, 221 Belair Road, TORRENS PARK",-34.98569658,138.6118145
190,SAAS,SALHN,SA Ambulance - Noarlunga,27 Alexander Kelly Drive,NOARLUNGA,,"SA Ambulance - Noarlunga, 27 Alexander Kelly Drive, NOARLUNGA",-35.13829166,138.501024
191,SAAS,SALHN,SA Ambulance - Ohalloran Hill,4 Majors Road ,O'HALLORAN HILL,,"SA Ambulance - Ohalloran Hill, 4 Majors Road , O'HALLORAN HILL",-35.0549458,138.5449881
192,SAAS,SALHN,SA Ambulance - Seaford,80 Seaford Road,SEAFORD,,"SA Ambulance - Seaford, 80 Seaford Road, SEAFORD",-35.18105895,138.4781691
193,SAAS,SALHN,SA Ambulance - Torrens Park,221 Belair Road,TORRENS PARK,,"SA Ambulance - Torrens Park, 221 Belair Road, TORRENS PARK",-34.98569658,138.6118145
194,SAAS,YNLHN,SA Ambulance - Booleroo,"Lot 6, 3-13 Stephens Street",BOOLEROO,,"SA Ambulance - Booleroo, Lot 6, 3-13 Stephens Street, BOOLEROO",-32.8770819,138.3507282
195,SAAS,YNLHN,SA Ambulance - Burra,"Block A, Market Street",BURRA,,"SA Ambulance - Burra, Block A, Market Street, BURRA",-33.67363766,138.9300493
196,SAAS,YNLHN,SA Ambulance - Clare,Webb Street,CLARE,,"SA Ambulance - Clare, Webb Street, CLARE",-33.8301183,138.6136639
197,SAAS,YNLHN,SA Ambulance - Crystal Brook,35 Brandis Street,CRYSTAL BROOK,,"SA Ambulance - Crystal Brook, 35 Brandis Street, CRYSTAL BROOK",-33.35301633,138.2081981
198,SAAS,YNLHN,SA Ambulance - Hamley Bridge,Light Street,HAMLEY BRIDGE,,"SA Ambulance - Hamley Bridge, Light Street, HAMLEY BRIDGE",-34.35706777,138.6818875
199,SAAS,YNLHN,SA Ambulance - Jamestown,Irvine Street,JAMESTOWN,,"SA Ambulance - Jamestown, Irvine Street, JAMESTOWN",-33.20678975,138.6046939
200,SAAS,YNLHN,SA Ambulance - Kadina,Day Street,KADINA,,"SA Ambulance - Kadina, Day Street, KADINA",-33.96326722,137.710572
201,SAAS,YNLHN,SA Ambulance - Maitland,Moonta Road,MAITLAND,,"SA Ambulance - Maitland, Moonta Road, MAITLAND",-34.37096725,137.6739908
202,SAAS,YNLHN,SA Ambulance - Moonta,7 Ryan Street,MOONTA,,"SA Ambulance - Moonta, 7 Ryan Street, MOONTA",-34.06839762,137.5928414
203,SAAS,YNLHN,SA Ambulance - Orroroo,Lot 3/ 50 RM Williams Way,ORROROO,,"SA Ambulance - Orroroo, Lot 3/ 50 RM Williams Way, ORROROO",-32.73598571,138.6176064
204,SAAS,YNLHN,SA Ambulance - Peterborough,19 Queen Street,PETERBOROUGH,closed,"SA Ambulance - Peterborough, 19 Queen Street, PETERBOROUGH",-32.97724202,138.8429251
205,SAAS,YNLHN,SA Ambulance - Pt Pirie,97a Grey Terrace,PORT PIRIE,,"SA Ambulance - Pt Pirie, 97a Grey Terrace, PORT PIRIE",-33.18987294,138.0057955
206,SAAS,YNLHN,SA Ambulance - Pt Wakefield,5 East Street ,PORT WAKEFIELD,,"SA Ambulance - Pt Wakefield, 5 East Street , PORT WAKEFIELD",-34.18637014,138.1530326
207,SAAS,YNLHN,SA Ambulance - Snowtown,1 Adelaide Road,SNOWTOWN,,"SA Ambulance - Snowtown, 1 Adelaide Road, SNOWTOWN",-33.78799246,138.2108593
208,SAAS,YNLHN,SA Ambulance - Wallaroo,Ernest Terrace ,WALLAROO,,"SA Ambulance - Wallaroo, Ernest Terrace , WALLAROO",-33.92882544,137.6362268
209,SAAS,YNLHN,SA Ambulance - Warooka,15-17 Fourth Street,WAROOKA,,"SA Ambulance - Warooka, 15-17 Fourth Street, WAROOKA",-34.99218543,137.4000297
